generation,field_name,score_gpt4o,error_type_gpt4o,explanation_gpt4o,score_llama3-70b,error_type_llama3-70b,explanation_llama3-70b,run_id,turns
0,company_name,5,faithful,"The candidate value is identical to the ground-truth value, preserving the full semantic meaning.",5,faithful,"The candidate value is identical to the ground-truth value, preserving the exact same meaning.",run_20251124_222847,5
0,contact_person_name,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,contact_person_role,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,contact_person_email,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,contact_person_phone,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,is_decision_maker,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,industry,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,address,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,purpose_of_request,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,lead_source,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,worked_with_ur_before,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,in_house_automation_resources_description,5,faithful,The candidate preserves the full meaning of the ground truth and adds relevant details about the team's skills without altering the original information.,5,faithful,"The candidate value is almost identical to the ground truth, with only minor additional details that do not alter the original meaning.",run_20251124_222847,5
0,in_house_team_skill_level,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,installation_responsibility,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,preferred_installation_timeline,5,faithful,"The candidate maintains the same timeline as the ground truth, with additional detail about an ideal scenario, but no change in the core meaning.",5,faithful,"The candidate value is a paraphrased version of the ground truth, preserving the same meaning and adding a slight detail about the first station.",run_20251124_222847,5
0,deployment_process_preference,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,application_description,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,application_criticality,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,application_type_and_sub_type,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,part_variety_description,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,part_dimensions_description,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,part_weight_description,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,desired_throughput,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,budget_for_project,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,project_completion_timeline_ideal,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,project_timeline_constraints,0,null,The field was empty or null.,0,null,The field was empty or null.,run_20251124_222847,5
0,key_decision_makers_description,4,mostly_faithful,The candidate accurately describes the decision-making roles but adds an unnecessary detail about the lead assembly line operator.,4,faithful,"The candidate mostly preserves the original meaning, with a minor rephrasing and an additional detail about the lead assembly line operator.",run_20251124_222847,5
