generation,filled_field_fraction,levenshtein_similarity,cosine_similarity,score_gpt4o,score_llama3-70b,run_id,turns
0,0.15625,0.1224533402158794,0.21285814989823842,0.75,0.75,run_20251124_222847,5
1,0.1875,0.11628732783542588,0.19270938279805702,0.6875,0.6875,run_20251124_222847,5
2,0.15625,0.11418640694415493,0.18660533055663103,0.4375,0.46875,run_20251124_222847,5
3,0.09375,0.09219057220531494,0.1527245408215094,0.3125,0.34375,run_20251124_222847,5
4,0.125,0.1022759720028858,0.16663475870154795,0.4375,0.46875,run_20251124_222847,5
5,0.09375,0.09294968151705583,0.15229938659467732,0.3125,0.34375,run_20251124_222847,5
6,0.09375,0.0936145751340771,0.1507134457642678,0.3125,0.34375,run_20251124_222847,5
7,0.1875,0.11331538975332343,0.17812315872288306,0.5,0.5,run_20251124_222847,5
8,0.125,0.10138048123736867,0.1667620913358405,0.4375,0.5,run_20251124_222847,5
9,0.15625,0.10916664338388984,0.1775440315250307,0.46875,0.5,run_20251124_222847,5
0,0.15625,0.15737040528052312,0.2315730389964301,0.78125,0.78125,run_20251124_234657,5
1,0.15625,0.13115058214169084,0.20681339179282074,0.59375,0.65625,run_20251124_234657,5
2,0.1875,0.13377745250189943,0.2101851539337076,0.5,0.5,run_20251124_234657,5
3,0.21875,0.12102463910261962,0.20123148956918155,0.46875,0.5,run_20251124_234657,5
4,0.125,0.10168295781301363,0.1706835492805112,0.15625,0.1875,run_20251124_234657,5
5,0.0625,0.08554430072141748,0.13504942553117869,0.15625,0.15625,run_20251124_234657,5
6,0.15625,0.10562375858842682,0.15936415654141453,0.15625,0.15625,run_20251124_234657,5
7,0.09375,0.08947123806800768,0.12216440541669722,0.15625,0.15625,run_20251124_234657,5
8,0.125,0.10395897935143623,0.154616966843605,0.15625,0.21875,run_20251124_234657,5
9,0.125,0.10235605785277432,0.1559880273416638,0.15625,0.21875,run_20251124_234657,5
0,0.21875,0.13499364659978938,0.22518959204899142,0.90625,0.9375,run_20251126_171636,5
1,0.25,0.11535271853808324,0.2189667833736166,0.6875,0.8125,run_20251126_171636,5
2,0.15625,0.11069893488581631,0.1970434891991317,0.4375,0.46875,run_20251126_171636,5
3,0.125,0.11968551680672027,0.19927780411671844,0.59375,0.59375,run_20251126_171636,5
4,0.15625,0.10648650364882553,0.17636283725732935,0.46875,0.4375,run_20251126_171636,5
5,0.1875,0.12101197363986843,0.1994496470724698,0.625,0.625,run_20251126_171636,5
6,0.125,0.10554865118134837,0.17734752342221324,0.4375,0.4375,run_20251126_171636,5
7,0.125,0.10282572608013381,0.17791467465576713,0.375,0.375,run_20251126_171636,5
8,0.15625,0.1082681762872165,0.17615457027568476,0.40625,0.40625,run_20251126_171636,5
9,0.15625,0.11459364761828211,0.18359980997047382,0.46875,0.4375,run_20251126_171636,5
0,0.21875,0.21937030202545205,0.2745023504539858,1.0625,1.09375,run_20251126_172658,5
1,0.125,0.13309599598157854,0.1781584786076564,0.46875,0.46875,run_20251126_172658,5
